cohort,gene_symbol,hedges_g,variance
GSE96804,CD81,-0.8225069107327128,0.08012344405670233
GSE96804,CD84,0.8805252689298196,0.08096079262467573
GSE96804,CD99,0.30797485066242347,0.07519404482312159
GSE96804,CD99L2,-0.406265321622269,0.07578898552576822
GSE96804,CDH1,0.290263540588068,0.07510425172442818
GSE96804,CDK8,-0.184320103930132,0.07467815831525948
GSE96804,CDKN2B,0.8642551665398478,0.08072021841846291
GSE96804,CEACAM1,-0.8900037119908205,0.08110301176140038
GSE96804,CEACAM3,-0.40381363868322123,0.07577215453622363
GSE96804,CEACAM5,-0.7036760402810345,0.07858651483180848
GSE96804,CEACAM6,-0.5752553640898512,0.07719463995255892
GSE96804,CEACAM8,-0.5132849624118422,0.0766229680773384
GSE96804,CFB,0.6969831605847676,0.07850707039514014
GSE96804,CFD,0.2696707528501626,0.0750065347070388
GSE96804,CFH,0.9559892348910394,0.08213528981114711
GSE96804,CFHR1,1.1349819653710849,0.08530705798479166
GSE96804,CFHR2,0.12435782723348204,0.07452130211594947
GSE96804,CFHR3,0.4938511641907095,0.07645709960051121
GSE96804,CFHR4,0.7817979931518221,0.07956997358122052
GSE96804,CFHR5,-0.24672350458142708,0.0749061124423792
GSE96804,CFI,0.09083953415486315,0.0744601745885871
GSE96804,CFP,-0.6265736780150777,0.07771731656329785
GSE96804,CGN,-0.20594829865465145,0.07474969052717416
GSE96804,CITED2,-1.3208003920989522,0.08917425810386907
GSE96804,CLU,0.8191343728987045,0.08007652458772846
GSE96804,CMA1,0.5361891083055077,0.07682667407079034
GSE96804,COL10A1,1.695968967969711,0.09876575865088179
GSE96804,COL11A1,1.2865859766665473,0.08841823945629507
GSE96804,COL11A2,1.1965398470806412,0.08652335920457262
GSE96804,COL12A1,1.0515432336334825,0.08376094875159462
GSE96804,COL13A1,1.6908645476648405,0.09861925168675958
GSE96804,COL14A1,1.0975950477451306,0.08459969211290204
GSE96804,COL15A1,1.5162233706296566,0.09387272957738442
GSE96804,COL16A1,1.7390926149578598,0.10002111782956585
GSE96804,COL18A1,0.11870087968747836,0.07450964982479988
GSE96804,COL19A1,-0.4326040080409797,0.07597622888356716
GSE96804,COL1A1,1.3667679825269148,0.09022121608939404
GSE96804,COL1A2,1.3752902424992512,0.09041925450509707
GSE96804,COL20A1,1.733404173508925,0.09985371872225393
GSE96804,COL21A1,1.0184215474552334,0.08317992566787218
GSE96804,COL22A1,1.4626610128995396,0.09252055948427214
GSE96804,COL23A1,1.085741770237482,0.08438037264513751
GSE96804,COL24A1,0.7888568602027832,0.07966393157946439
GSE96804,COL25A1,0.6199107602994804,0.07764693331544817
GSE96804,COL27A1,1.4277195763296882,0.09166467770443075
GSE96804,COL28A1,0.40871902424572515,0.07580593238362866
GSE96804,COL2A1,1.447956572555079,0.09215785607197674
GSE96804,COL4A1,0.8946457827644972,0.08117321912801784
GSE96804,COL4A2,1.055697406383429,0.08383513385027545
GSE96804,COL4A3,-0.454759307169697,0.07614283735546837
GSE96804,COL4A4,-0.48514167466581104,0.07638484088970637
GSE96804,COL4A5,-0.2076903913971666,0.07475579728107214
GSE96804,COL4A6,0.5494405785033569,0.07694859093045685
GSE96804,COL5A1,1.6528784468136173,0.09754284695278645
GSE96804,COL5A2,1.2702065981640398,0.08806333544497684
GSE96804,COL5A3,1.299230945032805,0.08869533753405627
GSE96804,COL6A1,0.7621849465844038,0.0793133446888786
GSE96804,COL6A2,1.6234729011105624,0.09672638170447585
GSE96804,COL6A3,1.2723502368867663,0.08810952462536961
GSE96804,COL6A5,0.8381624800500279,0.08034377223263914
